"dataset","rows","cols","date_time"
"WIMD1909",91676,16,"X2021.06.29.11.35.30"
"WIMD1909",91676,16,"X2021.06.30.10.20.30"
"WIMD1909",91676,16,"X2021.07.01.10.20.11"
"WIMD1909",91676,16,"X2021.07.02.10.17.27"
"WIMD1909",91676,16,"X2021.07.03.10.15.34"
"WIMD1909",91676,16,"X2021.07.04.10.15.45"
"WIMD1909",91676,16,"X2021.07.05.10.20.22"
"WIMD1909",91676,16,"X2021.07.06.10.19.45"
"WIMD1909",91676,16,"X2021.07.07.10.18.09"
"WIMD1909",91676,16,"X2021.07.08.10.20.13"
"WIMD1909",91676,16,"X2021.07.09.10.19.52"
"WIMD1909",91676,16,"X2021.07.10.10.15.22"
"WIMD1909",91676,16,"X2021.07.11.10.15.02"
"WIMD1909",91676,16,"X2021.07.12.10.20.05"
"WIMD1909",91676,16,"X2021.07.13.10.20.32"
"WIMD1909",91676,16,"X2021.07.14.10.17.36"
"WIMD1909",91676,16,"X2021.07.15.10.20.20"
"WIMD1909",91676,16,"X2021.07.16.10.15.58"
"WIMD1909",91676,16,"X2021.07.17.10.15.03"
"WIMD1909",91676,16,"X2021.07.18.10.15.38"
"WIMD1909",91676,16,"X2021.07.19.10.17.28"
"WIMD1909",91676,16,"X2021.07.20.10.21.04"
"WIMD1909",91676,16,"X2021.07.21.10.15.52"
"WIMD1909",91676,16,"X2021.07.22.10.16.03"
"WIMD1909",91676,16,"X2021.07.23.10.15.45"
"WIMD1909",91676,16,"X2021.07.24.10.15.32"
